2016-11-29 15:01:06:382xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx B,,2,15532,3101,3111,0,0,0,34,0,9,0,0,0,3,3106,3105,3105,3104,3103,3101,3101,3103,3101,3103,3108,3110,3109,3109,3108,3104,3104,3104,3107,3103,3111,3111,3111,3111,3110,3106,3106,3108,3109,3107,3108,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3108,3107,3106,3106,3103,3103,3103,3102,"3105
"
2016-11-29 15:01:24:232 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,27,0,0,0,3,3106,3106,3105,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3109,3109,3104,3104,3104,3107,3104,3111,3110,3111,3110,3110,3106,3107,3109,3108,3107,3109,3109,3109,3109,3108,3109,3110,3107,3111,3107,3107,3107,3107,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:25:044 B,,3,5,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,28,0,0,0,3,3107,3106,3106,3104,3103,3103,3101,3103,3101,3103,3109,3109,3110,3109,3108,3104,3104,3104,3107,3103,3110,3111,3111,3111,3109,3106,3107,3108,3108,3107,3108,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3107,3107,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:25:855 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,29,0,0,0,3,3106,3106,3104,3104,3103,3102,3102,3103,3102,3103,3109,3109,3110,3109,3108,3104,3105,3104,3108,3104,3110,3110,3111,3111,3110,3106,3107,3109,3109,3108,3108,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3107,3107,3107,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:26:667 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,29,0,0,0,3,3106,3106,3104,3104,3103,3102,3102,3103,3102,3103,3109,3109,3110,3109,3108,3104,3105,3104,3108,3104,3110,3110,3111,3111,3110,3106,3107,3109,3109,3108,3108,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3107,3107,3107,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:27:478 B,,3,6,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,30,0,0,0,3,3106,3106,3106,3104,3103,3101,3101,3102,3102,3103,3109,3110,3110,3109,3108,3104,3105,3104,3108,3104,3111,3111,3111,3111,3110,3106,3107,3108,3108,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3107,3107,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:28:289 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,31,0,0,0,3,3107,3105,3105,3104,3103,3102,3102,3103,3102,3103,3109,3110,3109,3109,3108,3104,3105,3104,3108,3104,3111,3111,3111,3110,3109,3106,3107,3109,3108,3107,3109,3109,3109,3109,3109,3109,3109,3107,3110,3107,3106,3108,3107,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:29:101 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,32,0,0,0,3,3106,3106,3106,3104,3103,3102,3102,3103,3102,3103,3109,3109,3110,3109,3108,3105,3104,3104,3107,3104,3110,3111,3111,3111,3110,3106,3107,3108,3109,3107,3108,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3107,3107,3107,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:29:912 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,33,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3101,3103,3109,3109,3110,3108,3108,3104,3105,3104,3107,3104,3111,3111,3111,3110,3110,3106,3107,3108,3108,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3108,3106,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:30:722 B,,3,9,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,4658,3102,3110,0,0,0,33,0,34,0,0,0,3,3106,3106,3104,3104,3103,3102,3102,3103,3102,3103,3109,3110,3110,3109,3108,3104,3105,3104,3107,3103,3111,3111,3111,3110,3110,3106,3107,3108,3108,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3108,3106,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:31:534 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,34,0,0,0,3,3106,3106,3104,3104,3103,3102,3102,3103,3102,3103,3109,3110,3110,3109,3108,3104,3105,3104,3107,3103,3110,3111,3111,3111,3110,3106,3106,3108,3108,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3107,3107,3106,3107,3102,3104,3103,3103,"3105
"
2016-11-29 15:01:32:345 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,35,0,0,0,3,3107,3106,3105,3104,3103,3102,3102,3103,3102,3103,3109,3110,3110,3108,3108,3104,3105,3104,3107,3104,3110,3111,3111,3110,3110,3106,3107,3108,3109,3108,3109,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3108,3107,3107,3107,3103,3104,3103,3103,"3105
"
2016-11-29 15:01:33:156 B,,3,5,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,36,0,0,0,3,3107,3106,3106,3104,3102,3102,3102,3103,3102,3103,3109,3109,3110,3109,3108,3105,3105,3104,3107,3104,3110,3110,3111,3110,3110,3106,3107,3108,3109,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3107,3107,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:33:968 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,37,0,0,0,3,3106,3106,3105,3104,3103,3102,3101,3103,3102,3102,3109,3109,3110,3109,3108,3104,3105,3104,3108,3103,3110,3110,3111,3111,3110,3106,3107,3109,3109,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3108,3107,3107,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:34:779 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,13982,3101,3111,0,0,0,34,0,38,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3102,3103,3109,3110,3110,3109,3108,3105,3104,3105,3107,3104,3110,3111,3111,3111,3110,3106,3107,3108,3108,3107,3109,3109,3110,3109,3109,3109,3110,3107,3111,3107,3107,3108,3107,3106,3106,3103,3103,3103,3103,"3106
"
2016-11-29 15:01:35:591 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,38,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3102,3103,3109,3110,3110,3109,3108,3105,3104,3105,3107,3104,3110,3111,3111,3111,3110,3106,3107,3108,3108,3107,3109,3109,3110,3109,3109,3109,3110,3107,3111,3107,3107,3108,3107,3106,3106,3103,3103,3103,3103,"3106
"
2016-11-29 15:01:36:402 B,,3,6,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,39,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3102,3103,3109,3110,3110,3108,3108,3105,3105,3104,3107,3104,3111,3111,3111,3110,3110,3106,3107,3108,3109,3107,3108,3109,3109,3109,3109,3109,3109,3107,3111,3108,3107,3107,3107,3107,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:37:213 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,40,0,0,0,3,3107,3106,3106,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3109,3108,3105,3105,3104,3107,3104,3111,3111,3111,3110,3110,3106,3106,3109,3109,3107,3108,3109,3109,3109,3109,3109,3110,3108,3110,3107,3107,3107,3107,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:38:024 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,41,0,0,0,3,3107,3105,3105,3104,3103,3102,3101,3103,3102,3103,3109,3109,3109,3108,3108,3104,3105,3105,3108,3104,3111,3111,3111,3111,3110,3106,3106,3108,3109,3107,3109,3109,3109,3109,3109,3109,3110,3108,3110,3108,3107,3108,3106,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:38:836 B,,3,6,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,42,0,0,0,3,3106,3106,3105,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3109,3109,3104,3105,3104,3108,3104,3110,3111,3111,3111,3110,3106,3107,3108,3109,3107,3108,3109,3109,3109,3109,3108,3110,3108,3111,3107,3107,3108,3107,3106,3107,3103,3104,3103,3103,"3106
"
2016-11-29 15:01:40:097 B,,3,4,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15534,3102,3111,0,0,0,34,0,43,0,0,0,3,3106,3106,3106,3104,3103,3102,3102,3103,3102,3103,3109,3110,3110,3109,3108,3104,3105,3104,3108,3104,3110,3111,3111,3111,3110,3106,3107,3109,3109,3108,3109,3109,3109,3109,3109,3109,3110,3107,3111,3108,3107,3108,3107,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:40:908 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,44,0,0,0,3,3107,3106,3105,3104,3103,3102,3102,3103,3102,3103,3109,3109,3110,3109,3108,3104,3105,3104,3107,3104,3111,3110,3111,3111,3110,3106,3107,3109,3108,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3108,3107,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:41:718 B,,3,7,"
$F",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,9319,3101,3111,0,0,0,34,0,45,0,0,0,3,3107,3106,3106,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3109,3108,3104,3105,3104,3108,3103,3110,3110,3111,3111,3110,3106,3107,3109,3109,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3108,3107,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:42:530 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,45,0,0,0,3,3107,3106,3106,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3109,3108,3104,3105,3104,3108,3103,3110,3110,3111,3111,3110,3106,3107,3109,3109,3107,3109,3109,3109,3109,3109,3109,3110,3107,3111,3108,3107,3108,3107,3107,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:43:341 B,,3,6,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,46,0,0,0,3,3107,3106,3106,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3109,3108,3105,3105,3104,3108,3104,3111,3111,3111,3111,3110,3106,3107,3108,3109,3107,3108,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3108,3106,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:44:152 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15534,3101,3111,0,0,0,34,0,47,0,0,0,3,3106,3106,3105,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3108,3109,3104,3105,3104,3108,3104,3111,3111,3111,3111,3110,3106,3107,3109,3109,3108,3109,3109,3109,3110,3109,3109,3110,3108,3111,3107,3107,3107,3107,3106,3106,3103,3104,3103,3103,"3105
"
2016-11-29 15:01:44:964 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,48,0,0,0,3,3107,3106,3105,3104,3103,3102,3101,3103,3102,3103,3109,3110,3110,3108,3108,3104,3105,3104,3107,3103,3111,3111,3111,3111,3110,3106,3107,3109,3108,3107,3109,3109,3110,3109,3109,3109,3110,3107,3110,3108,3107,3108,3107,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:45:775 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,49,0,0,0,3,3106,3106,3106,3104,3103,3103,3102,3103,3102,3103,3109,3109,3110,3108,3108,3104,3104,3104,3108,3104,3110,3111,3111,3111,3111,3106,3107,3109,3109,3107,3108,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3108,3107,3106,3107,3103,3103,3103,3103,"3106
"
2016-11-29 15:01:46:586 B,,3,4,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,49,0,0,0,3,3106,3106,3106,3104,3103,3103,3102,3103,3102,3103,3109,3109,3110,3108,3108,3104,3104,3104,3108,3104,3110,3111,3111,3111,3111,3106,3107,3109,3109,3107,3108,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3108,3107,3106,3107,3103,3103,3103,3103,"3106
"
2016-11-29 15:01:47:397 B,,3,5,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15534,3101,3111,0,0,0,34,0,50,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3102,3103,3109,3110,3110,3109,3109,3105,3105,3105,3107,3104,3111,3110,3111,3111,3110,3106,3107,3109,3109,3108,3109,3109,3109,3110,3109,3109,3110,3108,3110,3108,3107,3107,3107,3107,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:48:209 B,,3,5,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15534,3101,3111,0,0,0,34,0,51,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3103,3103,3109,3109,3110,3108,3109,3104,3105,3105,3108,3104,3111,3111,3111,3111,3110,3106,3107,3109,3109,3107,3108,3109,3110,3109,3109,3109,3110,3107,3110,3107,3107,3107,3107,3106,3107,3103,3104,3103,3103,"3106
"
